baseline	0.1780	0.0990	0.0940	0.0880
baselineProof1	0.0460	0.0420	0.0400	0.0290
baselineProof2	0.0910	0.0620	0.0610	0.0590
classesPatMat	1.0780	0.2530	0.2460	0.2410
javaFast	0.8529	0.1630	0.1550	0.1450
javaOOO	0.8970	0.1430	0.1320	0.1260
nestedClassPatMat	1.4520	0.3420	0.2750	0.1910
nestedOptPatMat	1.0480	0.2990	0.2910	0.2800
nestedPatMat	2.6125	1.3840	1.0420	1.0200
oooLambdas	1.1480	0.2940	0.2860	0.2770
oooNested	0.9754	0.2340	0.2240	0.2100
oooSubcalls	1.1505	0.1980	0.1920	0.1760
patMat	1.0260	0.2310	0.2230	0.2150
scalaOOO	1.0220	0.1380	0.1220	0.1140
scalacCake	1.0520	0.3050	0.2640	0.2520
simpleCake	0.9890	0.2390	0.2310	0.2230
slowPatMat	1.3360	0.2400	0.2120	0.1990
typeclass	0.3870	0.2030	0.1970	0.1820
wrappedInTry	1.2840	0.5220	0.5120	0.4970
