baseline	0.1659	0.0980	0.0960	0.0920
baselineProof1	0.0430	0.0310	0.0300	0.0280
baselineProof2	0.0840	0.0630	0.0620	0.0590
classesPatMat	1.0940	0.2510	0.2420	0.2370
javaFast	0.9060	0.1930	0.1700	0.1560
javaOOO	0.8750	0.1380	0.1340	0.1190
nestedClassPatMat	1.1043	0.3410	0.2653	0.1870
nestedOptPatMat	0.6060	0.3070	0.2940	0.2830
nestedPatMat	1.8900	1.0640	1.0460	1.0260
oooLambdas	1.4520	1.0240	0.2690	0.2520
oooNested	0.9805	0.2507	0.2210	0.2120
oooSubcalls	1.0420	0.1930	0.1840	0.1770
patMat	0.4356	0.2240	0.2200	0.2150
scalaOOO	0.1720	0.1240	0.1210	0.1130
scalacCake	0.9920	0.2620	0.2590	0.2480
simpleCake	0.3470	0.2320	0.2290	0.2240
slowPatMat	0.9960	0.2260	0.2170	0.1980
typeclass	1.0000	0.2260	0.2060	0.1880
wrappedInTry	0.8910	0.5030	0.4960	0.4820
